Date,HYG Returns,DBC Returns,VWO Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,EWJ Returns,Portfolio Returns,,VTI,Portfolio,,,,,
8/4/14,0.006084276,0.007563614,0.011368797,0.006331359,-0.003135544,-0.002618675,0.006834857,0.001668069,0.001075114,,1.607113884,1.737581411,,,,,
8/5/14,-0.001943846,-0.00474113,-0.015062915,-0.012757768,-0.00096778,0.003238183,-0.008785038,-0.015820178,-0.001234359,,1.618098277,1.73944951,,,,,
8/6/14,0.002380458,0.006351687,-0.00707604,-0.001593221,0.014531323,0.000610655,0.000201402,-0.005076092,0.00400614,,1.603883222,1.737302404,,,,,
8/7/14,0.000647637,0.001972387,-0.004597708,-0.010815606,0.004058264,0.009328688,-0.005236099,-0.003401385,0.004090875,,1.604206248,1.744262281,,,,,
8/8/14,0.003128377,-0.00472437,0.011085428,0.008962185,7.93E-05,-0.002159454,0.011539618,0.001706409,0.000351645,,1.595806465,1.751397839,,,,,
8/11/14,0.00473172,0.001582239,0.014390164,0.001954164,-0.001822672,-8.65E-05,0.003602535,0.009369744,0.001448368,,1.614221462,1.75201371,,,,,
8/12/14,-0.000214026,-0.006319115,0.000225146,-0.000177332,0.000238163,-0.006492944,-0.001794797,-0.001687776,-0.003273169,,1.620036752,1.754551271,,,,,
8/13/14,0.002890443,-0.000794952,0.004277411,0.003901416,0.001666791,0.006535378,0.007092187,0.008453146,0.004043847,,1.617129116,1.748808328,,,,,
8/14/14,0.001921436,-0.011933135,0.000672458,0.006006009,0.00087164,0.008051256,0.004364231,0.001676372,0.002791151,,1.628598098,1.755880242,,,,,
8/15/14,0.002024321,0.004025805,-0.001344036,-0.000702385,-0.006571095,0.010906867,9.87E-05,0.001673652,0.003648551,,1.635705676,1.760781169,,,,,
8/18/14,0.002870785,-0.008420248,0.010318515,0.00773148,-0.004144118,-0.009939661,0.008985925,0.003341712,-0.004080541,,1.635867122,1.767205468,,,,,
8/19/14,-0.000318056,0.002021876,0.005772603,0.001569311,-0.002240709,-0.003089078,0.004991206,0.000832645,-0.001056322,,1.650566901,1.759994313,,,,,
8/20/14,0.000742388,0.002824818,-0.001545247,-0.004004164,-0.003689437,-0.001635407,0.002337113,-0.005823669,-0.001088939,,1.658805221,1.758135192,,,,,
8/21/14,0,0.002414487,-0.000884375,0.00611786,-0.010787345,0.005603939,0.002234564,0.005020957,0.00051463,,1.662682036,1.756220689,,,,,
8/22/14,-0.00243751,-0.001605741,-0.004425695,-0.005559421,0.002522827,0.005572719,-0.001454073,-0.007493809,0.001577654,,1.666397406,1.757124492,,,,,
8/25/14,0.002124767,0.001608323,0.008446249,0.01065683,-0.003652926,0.003751408,0.005242224,0.003355729,0.002028362,,1.663974342,1.759896627,,,,,
8/26/14,0.000742073,0.000401445,0.005510257,0.001382916,0.004969855,-0.003227769,0.00183481,-0.005016759,0.000109882,,1.672697268,1.763466334,,,,,
8/27/14,-0.000953432,0.001605096,0.005041642,0.003625053,-0.000243194,0.008521517,-0.000578349,-0.004201625,0.003308859,,1.67576635,1.763660108,,,,,
8/28/14,-0.001484461,0.000801322,-0.009160264,-0.006707935,0.00551411,0.005238726,-0.001060961,-0.002531664,0.002471735,,1.674797172,1.76949581,,,,,
8/29/14,0.000743334,0.002001641,-0.000660344,0.00051945,-0.001129024,0.00067245,0.002993124,-0.00169206,0.00047679,,1.673020277,1.773869535,,,,,
9/2/14,0.001172579,-0.01438278,0.001982386,-0.001211476,-0.017842717,-0.017250528,0.000770133,0.010169478,-0.011298933,,1.678027834,1.774715297,,,,,
9/3/14,-0.002555343,0.004053506,0.016706942,0.009010573,0.004110152,0.005568358,-0.001058104,0.000839018,0.003519351,,1.679320139,1.754662908,,,,,
9/4/14,-0.003309107,-0.004037142,-0.004324353,-0.00566714,-0.005485051,-0.012182659,-0.002118449,-0.003352916,-0.007269871,,1.677543245,1.760838182,,,,,
9/5/14,-0.001178117,-0.001621443,0.009554896,0.002417948,0.004774407,-0.001897315,0.004631898,-0.004205245,0.000291674,,1.673989456,1.748037116,,,,,
9/8/14,-0.00096508,-0.004872067,-0.011615422,-0.013955912,-0.01089624,0.000432005,-0.002017089,-0.000844601,-0.003460291,,1.681743203,1.748546973,,,,,
9/9/14,-0.004615225,-0.008159976,-0.012187196,-0.000349484,0.001159612,-0.00077731,-0.007026019,-0.008453146,-0.002634785,,1.678350977,1.742496492,,,,,
9/10/14,0.000431317,-0.006993007,-0.004406263,0.004195102,-0.005046753,-0.006309999,0.003780162,0.011082687,-0.003721617,,1.666558851,1.737905389,,,,,
9/11/14,0,-0.004970961,-0.007081214,-0.004351613,-0.006569108,-0.003305467,0.001834704,-0.002529443,-0.003379899,,1.672858714,1.731437571,,,,,
9/12/14,-0.001185609,-0.007910075,-0.013594845,0.000349667,-0.009123663,-0.010473071,-0.006457813,-0.003381259,-0.007696015,,1.675927913,1.725585488,,,,,
9/15/14,-0.001834439,0.001258959,-0.004292779,-0.000524336,0.002196334,0.001499428,-0.002619367,0.000848183,0.000581298,,1.665105084,1.712305357,,,,,
9/16/14,0.002054083,0.00922041,0.012707071,0.003672015,0.001601509,-0.004051138,0.00710051,0.001694927,0.000903239,,1.660743562,1.713300716,,,,,
9/17/14,0.003236536,-0.004152824,-0.009634775,-0.004355403,-0.010855853,-0.00256427,0.001062396,-0.008460211,-0.003513417,,1.672535688,1.714848236,,,,,
9/18/14,0.000322603,-0.009591326,0.002262423,0.009098809,0.002041841,0.0031915,0.00511336,0.005972652,0.001333556,,1.674312582,1.708823259,,,,,
9/19/14,0.001505133,-0.002947368,-0.007449183,-0.003988213,-0.005858406,0.012725295,-0.001919729,0.001696365,0.00334872,,1.682873945,1.711102071,,,,,
