Date,HYG Returns,DBC Returns,VWO Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,Portfolio Returns,Portfolio,VTI,,,,
8/14/12,0.001530057,0.001078009,0.000242415,0.003591466,-0.005513174,-0.01354687,-0.000278607,-0.005824122,1.753325024,1.114295058,,,,
8/15/12,-0.004801428,0.008614465,-0.002665369,-0.000223603,0.003223103,-0.014056048,0.002229073,-0.004668331,1.743113444,1.113984607,,,,
8/16/12,0.00372812,0.003914555,0.010204126,0.011185679,0.005975666,-0.008521104,0.007645205,0.000167524,1.734976014,1.11646776,,,,
8/17/12,0,0.001417972,-0.005531597,0.000884974,0.001021992,0.004875603,0.001931285,0.002225117,1.735266665,1.125003385,,,,
8/20/12,0.001201662,0.004601735,0,-0.002210479,0.003445597,0.002055922,-0.0001376,0.002117938,1.739127836,1.127176087,,,,
8/21/12,0.00218218,0.009161382,-0.002176547,0.007532123,0.009983512,0.004431683,-0.002065566,0.005123348,1.742811202,1.127020988,,,,
8/22/12,-0.000979822,0.0052375,0.000727162,-0.000879526,0.010766171,0.016504648,-0.001241955,0.008793507,1.75174023,1.124693052,,,,
8/23/12,-0.000217997,-0.004862834,-0.008718813,-0.007702432,0.008409157,0.0041797,-0.00746064,0.001830079,1.767144171,1.123296233,,,,
8/24/12,0.004469182,-0.004537522,0.000488628,-0.001552444,0.000494175,-0.000960555,0.005707179,0.000442846,1.770378185,1.114915725,,,,
8/27/12,-0.000759626,-0.00455824,-0.010012205,0.003553972,-0.00376613,0.005848914,-0.000138429,0.000682034,1.77116219,1.121278748,,,,
8/28/12,-0.000868823,0.000704509,-0.001726679,-0.000885366,0.001735238,0.002389639,-0.000138358,0.001098271,1.772370183,1.121123531,,,,
8/29/12,0.001413014,0.001759908,-0.004941932,-0.004209098,-0.006495935,-0.004370593,0.001245962,-0.002734129,1.774316725,1.120968415,,,,
8/30/12,-0.000434176,0.001054146,-0.012167929,-0.011123493,-0.000435843,0.005187982,-0.007466814,0.000780039,1.769465514,1.122365099,,,,
8/31/12,0.002606199,0.010530046,0.008295666,0.011923507,0.023050068,0.014133702,0.005990529,0.01267275,1.770845766,1.113984607,,,,
9/4/12,-2.18E-05,0.000347273,-0.004737007,-0.002890221,0.001583212,-0.001004335,-0.000692361,-0.000287457,1.793287252,1.120657964,,,,
9/5/12,0.000108939,-0.004861077,-0.005260516,0.000668976,-0.001033548,-0.004712521,0,-0.002619356,1.792771759,1.119882064,,,,
9/6/12,0.005880443,-0.000348918,0.021405246,0.030303033,0.003529919,-0.016650889,0.019955573,-0.001811704,1.788075851,1.119882064,,,,
9/7/12,0.001732113,0.01116925,0.023422008,0.014057043,0.021529523,-0.004654541,0.004891314,0.005468702,1.784836386,1.142229953,,,,
9/10/12,-0.00162111,0.001380773,-0.012045292,-0.010236713,-0.00682741,0.002418798,-0.005949198,-0.001649212,1.794597124,1.147816958,,,,
9/11/12,0.006819708,0.002068252,0.010972962,0.014652017,0.003646369,-0.006273617,0.002176332,0.000707047,1.791637452,1.140988368,,,,
9/12/12,0.003010424,0.005159924,0.004341545,0.003397745,0.000119142,-0.012464594,0.004207353,-0.003160715,1.792904224,1.143471537,,,,
9/13/12,0.006431532,0.006844661,0.025456316,0.01671959,0.020188185,-0.003934138,0.015002029,0.006698224,1.787237364,1.148282525,,,,
9/14/12,-0.000106524,0.01053705,0.012178002,0.01040799,0.002860341,-0.026577766,0.005326262,-0.007542207,1.799208681,1.165509093,,,,
9/17/12,-0.000852094,-0.027581567,-0.008792237,-0.00556243,-0.008149063,0.012003371,-0.00410593,-0.000744023,1.785638676,1.171716899,,,,
9/18/12,0.00042637,-0.007263888,-0.000700264,-0.005593544,0.00774652,0.005011679,-0.001729019,0.002539295,1.78431012,1.166905911,,,,
9/19/12,-0.001278725,-0.014634146,-0.000233638,0.003958306,0.000116492,0.006565834,0.000799434,0.000953083,1.78884101,1.164888309,,,,
9/20/12,-0.004694861,0.005657708,-0.004906511,-0.007677919,-0.001572167,0.002477107,-0.001331283,-0.000116456,1.790545923,1.16581956,,,,
9/21/12,-0.001393622,0.006680661,0.001408803,0.003973205,0.002857678,0.001153117,0.000266649,0.001626937,1.790337403,1.164267525,,,,
9/24/12,-0.001288277,-0.010478484,-0.000356077,-0.004517104,-0.005291951,0.007815689,-0.002222944,0.000300068,1.793250169,1.164577975,,,,
9/25/12,-0.008921864,0.001058983,-0.014485877,-0.008989772,-0.001636942,0.009877542,-0.010200008,0.000561862,1.793788267,1.161989184,,,,
9/26/12,-0.004989145,-0.007052221,-0.004578286,-0.014254848,-0.005621631,0.010750965,-0.006644031,0.000325812,1.794796128,1.150136886,,,,
9/27/12,0.01090036,0.012428977,0.015976746,0.013584548,0.014898993,-0.007117718,0.009964444,0.005131877,1.795380894,1.142495341,,,,
9/28/12,-0.004744392,0.00596282,-0.005956636,-0.021616953,-0.0026111,0.000563834,-0.004595158,-0.001693003,1.804594568,1.153879672,,,,
10/1/12,-0.001688162,0.001394665,0.010546473,0.011268279,0.002327035,0.003710842,0.001765059,0.002458172,1.801539385,1.148577412,,,,
10/2/12,0.002509223,-0.005222807,-0.000711536,0.006773019,-0.001102716,-0.001366324,0.001490937,-0.000538803,1.805967879,1.150604719,,,,
10/3/12,0.002503024,-0.017150858,-0.005221971,-0.004991388,0.001801267,0.00032194,0.003654138,-0.000856971,1.804994818,1.152320198,,,,
10/4/12,0.004233609,0.021723682,0.009305649,0.014394754,0.006960136,-0.012470863,0.007551204,0.000851281,1.803447989,1.156530936,,,,
10/5/12,-0.000540522,-0.005228302,-0.000709207,0.002150125,-0.005702471,-0.012954178,-0.000267732,-0.006741612,1.80498323,1.165264137,,,,
10/8/12,-0.001405978,-0.002803153,-0.00922637,-0.007723676,-0.003302004,0.00841928,-0.003882103,0.001264845,1.792814733,1.164952158,,,,
10/9/12,-0.002816009,0.007378813,-0.008118449,-0.017729729,-0.006160988,-0.001800773,-0.010079292,-0.00311915,1.795082366,1.160429694,,,,
10/10/12,-0.002389507,-0.001743948,-0.005055332,-0.000220167,-0.000877297,0.007052073,-0.005837628,0.001369498,1.789483235,1.148733385,,,,
10/11/12,0.005443669,0.011530398,0.009436212,0.008146251,0.002809711,0.006921314,0.001502017,0.006028421,1.791933929,1.142027507,,,,
10/12/12,0.001732576,-0.013816994,-0.002876374,-0.000873568,-0.00735471,0.002506853,-0.004363232,-0.002033239,1.80273646,1.143742852,,,,
10/15/12,0.004540029,-0.004903643,0.006730837,0.010710413,-0.010055228,-0.002258601,0.008217011,-0.001543443,1.799071066,1.138752437,,,,
10/16/12,0.003658629,0.000703977,0.008834742,0.018166109,0.006355759,-0.013824877,0.0103232,-0.001785741,1.796294303,1.148109579,,,,
10/17/12,0.002251604,0.000351776,0.008047326,0.009133311,0.000708269,-0.009263858,0.004705658,-0.00214994,1.793086587,1.159961743,,,,
10/18/12,-0.000534913,-0.000351653,-0.002817539,-0.006524893,-0.004423735,-0.006123268,-0.002007246,-0.003787064,1.789231558,1.165420126,,,,
10/19/12,-0.00503051,-0.015124868,-0.015540367,-0.012923729,-0.010782582,0.013570867,-0.017296877,-0.001442506,1.782455623,1.163080841,,,,
10/22/12,0.000215181,-0.004642821,0.010284624,0.006439127,0.003653357,-0.00640709,0,-0.001675568,1.779884421,1.142963174,,,,
10/23/12,-0.003764315,-0.012199497,-0.020833358,-0.02537853,-0.012829747,0.014302282,-0.012689323,-0.001253381,1.776902103,1.142963174,,,,
10/24/12,-0.000863589,-0.002905921,0.001692453,-0.000218866,-0.003445518,-0.009862253,-0.002763912,-0.00508458,1.774674968,1.128459746,,,,
10/25/12,0.001620678,0.002550055,0.009896196,0.006128313,0.007036291,-0.005103742,0.002771572,0.000682023,1.765651492,1.125340783,,,,
10/26/12,-0.002373174,0.002180233,-0.006931176,0.000652592,-0.00054217,0.014727774,-0.001105603,0.005068855,1.766855707,1.128459746,,,,
10/31/12,0.001189376,-0.000725199,-0.001443991,0.001304358,0.005424028,0.005870848,0.000553406,0.003542494,1.775811643,1.127212117,,,,
11/1/12,-0.000539975,0.001814296,0.014702264,0.010855408,-0.004555506,-0.008187436,0.012583022,-0.002443165,1.782102445,1.127835923,,,,
11/2/12,-0.001404762,-0.01702289,-0.006175742,-0.010524084,-0.020894809,-0.00073556,-0.010378295,-0.007732156,1.777748474,1.142027507,,,,
11/5/12,-0.001623214,0.00847465,0.004780136,-0.003907104,0.003874477,0.005643665,0.003173664,0.003744486,1.764002645,1.130175209,,,,
11/6/12,0.001517439,0.017902813,0.006422473,0.011113583,0.018807861,-0.009434699,0.007565385,0.00336256,1.770607928,1.133762005,,,,
11/7/12,-0.005952418,-0.018664788,-0.01512652,-0.017241457,0.001142526,0.018145985,-0.022389069,0.001764648,1.776561703,1.142339352,,,,
11/8/12,-0.00326614,0.001463021,-0.012238991,-0.010745569,0.00900955,0.014838677,-0.01270778,0.005588285,1.779696709,1.116763436,,,,
11/9/12,-0.001747716,0.008035099,0.003644358,-0.001551745,-0.001011953,0.001112581,0.0009901,0.000836766,1.789642162,1.102571852,,,,
11/12/12,0.000328242,-0.004710181,0.002904841,0.001998227,-0.002204803,0.001666924,0.000565229,-6.25E-05,1.791139674,1.103663509,,,,
11/13/12,-0.002297073,-0.001820131,-0.009413463,-0.005096382,-0.002090122,0.0033283,-0.003812975,-0.000425273,1.791027714,1.104287332,,,,
