Date,HYG Returns,DBC Returns,VGK Returns,GLD Returns,TLT Returns,VTI Returns,Portfolio Returns,,VTI,Portfolio,,,,
4/23/15,-0.00032893,0.012366441,0.005517027,0.007291593,0.004306318,0.003108188,0.005080503,,1.792817795,1.770399171,,,,
4/24/15,0.001645287,-0.000555247,0.00389382,-0.014041522,0.006236868,0.001093549,-0.000884123,,1.798390209,1.779393689,,,,
4/27/15,0.00032851,0,0.008638897,0.020168058,0,-0.005188898,0.005212782,,1.800356837,1.777820485,,,,
4/28/15,-0.001532566,0.001666722,-0.001398322,0.008670771,-0.013791015,0.002653748,-0.002245616,,1.791014969,1.787087876,,,,
4/29/15,-0.001863813,0.006655518,-0.008226866,-0.007048912,-0.012255462,-0.004380799,-0.006518515,,1.795767871,1.783074763,,,,
4/30/15,-0.000549236,0.007713554,-0.002470873,-0.017660817,0.001749735,-0.010816684,-0.004541585,,1.787900973,1.771451763,,,,
5/1/15,0.002229922,-0.001093548,0.007961789,-0.003437023,-0.013461492,0.009174291,-0.003498375,,1.768561813,1.763406564,,,,
5/4/15,-0.000220345,-0.000547345,0,0.009020127,-0.009435474,0.003489411,-0.000548356,,1.784787113,1.757237506,,,,
5/5/15,-0.001321968,0.008214677,-0.016324379,0.002804557,-0.001384008,-0.011896005,-0.001638732,,1.791014969,1.756273914,,,,
5/6/15,-0.002978529,0,0.006780813,-0.000524358,-0.017120551,-0.002778322,-0.005979316,,1.769709046,1.753395851,,,,
5/7/15,-0.000110583,-0.015752254,-0.003722066,-0.008219683,0.013437323,0.003807547,0.000984145,,1.764792225,1.742911744,,,,
5/8/15,0.00785657,0.005518653,0.024017115,0.004849259,0.002700943,0.012582109,0.00688625,,1.771511754,1.744627022,,,,
5/11/15,-0.006258226,-0.00439078,-0.003822113,-0.003860683,-0.024324571,-0.004202821,-0.011013402,,1.793801108,1.75664096,,,,
5/12/15,-0.000110507,0.010474146,-0.003662346,0.008544006,0.002593468,-0.002936043,0.003375777,,1.786262083,1.737294367,,,,
5/13/15,-0.001436431,0.001091107,0.007001529,0.017903956,-0.008010674,0.000552174,0.00233415,,1.781017541,1.743159084,,,,
5/14/15,0.004868813,0.005994496,0.016687005,0.00540538,0.002691788,0.009932806,0.005801191,,1.782000973,1.747227879,,,,
5/15/15,0.002202452,-0.000541603,-0.001196846,0.002986849,0.020050336,0.001183909,0.007640674,,1.799701244,1.757363882,,,,
5/18/15,-0.001648194,-0.002710081,-0.005991075,-8.51E-05,-0.016777644,0.003729267,-0.006077411,,1.801831925,1.770791326,,,,
5/19/15,-0.001540821,-0.021195652,-0.003444142,-0.013869963,-0.008866624,-0.000453057,-0.008896908,,1.808551438,1.7600295,,,,
5/20/15,-0.001212528,-0.002221044,0.003456045,0.001639512,0.001687943,-0.000634635,0.00076855,,1.80773206,1.74437068,,,,
5/21/15,0.001434687,0.012242739,0.005682836,-0.003359752,0.013985982,0.002540133,0.005784576,,1.806584811,1.745711317,,,,
5/22/15,0.000771436,-0.010995107,-0.010274022,-0.000777976,0.000415483,-0.001900268,-0.00192853,,1.811173776,1.755809517,,,,
5/26/15,-0.002092226,-0.019455309,-0.021107212,-0.014619326,0.017109615,-0.010426124,-0.002837935,,1.80773206,1.752423385,,,,
5/27/15,0.002206986,-0.013605386,0.013432269,-0.000175621,0.002286443,0.009161698,0.001724555,,1.788884422,1.747450122,,,,
5/28/15,-0.000440437,0.005172414,-0.000697613,0.001141435,-0.002444147,-0.000907835,-0.000246307,,1.805273641,1.750463696,,,,
5/29/15,0.001432084,0.012578559,-0.010820231,0.00070164,0.002205132,-0.006724269,0.000776215,,1.803634751,1.750032544,,,,
6/1/15,0.001679412,-0.002258555,-0.006174974,-0.000876407,-0.010747571,0.00247008,-0.003906006,,1.791506626,1.751390945,,,,
6/2/15,-0.001875211,0.011884493,0.008876248,0.004035079,-0.013951908,-0.000730077,-0.002154832,,1.79593179,1.744550002,,,,
6/3/15,-0.005414931,-0.012863479,0.007918303,-0.007164075,-0.016075071,0.0034703,-0.008125022,,1.794620621,1.740790789,,,,
6/4/15,-0.003222236,-0.009065156,-0.012395235,-0.007039801,0.013019116,-0.00800872,-0.000578122,,1.800848494,1.726646825,,,,
6/5/15,-0.00300966,0.004574042,-0.013788198,-0.005317246,-0.012179796,-0.000825654,-0.006463599,,1.786426003,1.725648613,,,,
6/8/15,0,0.000569152,-0.000537774,0.002940146,-0.001105413,-0.00615192,-0.000254962,,1.784951032,1.714494712,,,,
6/9/15,-0.001677125,0.015927247,-0.003766122,0.00222084,-0.007916923,-0.000831452,-0.001173944,,1.773970156,1.714057581,,,,
6/10/15,0.001343971,0.003919317,0.024662436,0.008509121,-0.008752397,0.012205268,0.00293832,,1.772495186,1.712045374,,,,
6/11/15,0.002013112,-0.008923592,0.001932544,-0.004570197,0.021035323,0.00274044,0.005652855,,1.794128964,1.717075911,,,,
6/12/15,-0.003683372,-0.010129432,-0.010170053,-0.000264868,0,-0.006468069,-0.002988847,,1.799045667,1.726782292,,,,
